PLAYER,AGE,TEAM,DATE,TYPE,METHOD,EXTENSION,LENGTH,VALUE,AAV,PG,SG,SF,PF,C
Patty Mills,35,MIA,2024-03-06,Veteran Contract,Minimum Salary Exception,0,1.0,753186.0,753186.0,1,0,0,0,0
Malik Shake Milton,27,NYK,2024-03-05,Veteran Contract,Minimum Salary Exception,0,1.0,552938.0,552938.0,0,1,0,0,0
Kelly Olynyk,32,TOR,2024-03-04,Veteran Extension,Bird Exception,1,2.0,26250000.0,13125000.0,0,0,0,1,1
Kendall Brown,20,IND,2024-03-03,Veteran Contract,Room-MLE,0,2.5,5522270.0,1840757.0,0,1,1,0,0
A.J. Lawson,23,DAL,2024-03-03,Veteran Contract,MLE,0,4.0,7912022.0,1978006.0,0,1,0,0,0
Mike Muscala,32,OKC,2024-03-02,Veteran Contract,Minimum Salary Exception,0,1.0,808297.0,808297.0,0,0,0,1,1
Dominick Barlow,20,SAS,2024-03-02,Veteran Contract,Minimum Salary Exception,0,1.0,465975.0,465975.0,0,0,0,1,1
Eugene Omoruyi,27,WAS,2024-03-01,Veteran Contract,MLE,0,2.0,3096970.0,1548485.0,0,0,1,0,0
Trent Forrest,25,ATL,2024-02-29,Veteran Contract,Minimum Salary Exception,0,1.0,553151.0,553151.0,1,1,0,0,0
Aleksej Pokusevski,22,CHA,2024-02-28,Veteran Contract,Minimum Salary Exception,0,2.0,2838428.0,1419214.0,0,0,0,1,1
Stanley Umude,24,DET,2024-02-23,Veteran Contract,Minimum Salary Exception,0,2.0,2659153.0,1329577.0,0,1,0,0,0
Lester Quinones,23,GSW,2024-02-22,Veteran Contract,Minimum Salary Exception,0,1.0,548815.0,548815.0,0,1,0,0,0
Mike Conley,36,MIN,2024-02-22,Veteran Extension,Bird Exception,1,2.0,20750000.0,10375000.0,1,0,0,0,0
Thaddeus Young,35,PHX,2024-02-20,Veteran Contract,Minimum Salary Exception,0,1.0,1010371.0,1010371.0,0,0,0,1,0
Delon Wright,31,MIA,2024-02-18,Veteran Contract,Minimum Salary Exception,0,1.0,947205.0,947205.0,1,1,0,0,0
Danilo Gallinari,35,MIL,2024-02-18,Veteran Contract,Minimum Salary Exception,0,1.0,1047112.0,1047112.0,0,0,1,1,0
Jeremiah Robinson-Earl,23,NOP,2024-02-16,Veteran Contract,Minimum Salary Exception,0,2.0,2845813.0,1422907.0,0,0,0,1,0
Kyle Lowry,37,PHI,2024-02-13,Veteran Contract,MLE,0,1.0,2795839.0,2795839.0,1,0,0,0,0
Spencer Dinwiddie,30,LAL,2024-02-10,Veteran Contract,MLE,0,1.0,1554655.0,1554655.0,1,1,0,0,0
Bismack Biyombo,31,OKC,2024-02-10,Veteran Contract,Minimum Salary Exception,0,1.0,1194075.0,1194075.0,0,0,0,0,1
Lindy Waters III,26,OKC,2024-02-09,Veteran Contract,Minimum Salary Exception,0,1.5,2963065.0,1481533.0,0,1,0,0,0
Keon Ellis,24,SAC,2024-02-09,Veteran Contract,Room-MLE,0,2.5,5105710.0,1701903.0,0,1,0,0,0
James Johnson,36,IND,2024-02-08,Veteran Contract,Minimum Salary Exception,0,1.0,1230816.0,1230816.0,0,0,1,1,0
Vince Williams Jr.,23,MEM,2024-01-10,Veteran Contract,MLE,0,3.5,9144340.0,2286085.0,0,0,1,0,0
Miles McBride,23,NYK,2023-12-30,Veteran Extension,Bird Exception,1,3.0,13000000.0,4333333.0,1,0,0,0,0
Juan Toscano-Anderson,30,SAC,2023-12-15,Veteran Contract,Minimum Salary Exception,0,1.0,1517989.0,1517989.0,0,0,1,0,0
Taj Gibson,38,NYK,2023-12-15,Veteran Contract,Minimum Salary Exception,0,1.0,2241188.0,2241188.0,0,0,0,1,1
James Johnson,36,IND,2023-12-15,Veteran Contract,Minimum Salary Exception,0,1.0,2241188.0,2241188.0,0,0,1,1,0
Daniel Theis,31,LAC,2023-11-17,Veteran Contract,Minimum Salary Exception,0,1.0,2179511.0,2179511.0,0,0,0,0,1
Joshua Primo,20,LAC,2023-11-15,Veteran Contract,Minimum Salary Exception,0,2.0,3961311.0,1980656.0,0,1,0,0,0
Skylar Mays,26,POR,2023-11-12,Veteran Contract,Minimum Salary Exception,0,1.0,1863879.0,1863879.0,1,1,0,0,0
Kevin Knox,24,DET,2023-11-08,Veteran Contract,Minimum Salary Exception,0,1.0,2144320.0,2144320.0,0,0,1,1,0
Bismack Biyombo,31,MEM,2023-11-01,Veteran Contract,MLE,0,1.0,5000000.0,5000000.0,0,0,0,0,1
Ish Smith,35,CHA,2023-10-24,Veteran Contract,Minimum Salary Exception,0,1.0,3196448.0,3196448.0,1,0,0,0,0
Onyeka Okongwu,22,ATL,2023-10-23,Rookie Scale Extension,Bird Exception,1,4.0,62000000.0,15500000.0,0,0,0,1,1
Cole Anthony,23,ORL,2023-10-23,Rookie Scale Extension,Bird Exception,0,2.5,39100000.0,13033333.0,1,0,0,0,0
Jaden McDaniels,23,MIN,2023-10-23,Rookie Scale Extension,Bird Exception,1,5.0,136000000.0,27200000.0,0,0,1,1,0
Josh Green,22,DAL,2023-10-23,Rookie Scale Extension,Bird Exception,1,3.0,41000000.0,13666667.0,0,1,1,0,0
Aaron Nesmith,24,IND,2023-10-23,Rookie Scale Extension,Bird Exception,1,3.0,33000000.0,11000000.0,0,0,1,0,0
Deni Avdija,22,WAS,2023-10-23,Rookie Scale Extension,Bird Exception,1,4.0,55000000.0,13750000.0,0,1,1,0,0
Zeke Nnaji,22,DEN,2023-10-23,Rookie Scale Extension,Bird Exception,1,3.5,32000001.0,8000000.0,0,0,0,1,0
Zach Collins,25,SAS,2023-10-22,Veteran Extension,Bird Exception,1,2.0,34821696.0,17410848.0,0,0,0,1,1
Dylan Windler,27,NYK,2023-10-21,Veteran Contract,Minimum Salary Exception,0,1.0,2165000.0,2165000.0,0,1,1,0,0
Dru Smith,25,MIA,2023-10-21,Veteran Contract,Minimum Salary Exception,0,2.0,3922462.0,1961231.0,1,0,0,0,0
Payton Pritchard,25,BOS,2023-10-10,Rookie Scale Extension,Bird Exception,1,4.0,30000000.0,7500000.0,1,0,0,0,0
Reggie Bullock,32,HOU,2023-10-04,Veteran Contract,Minimum Salary Exception,0,1.0,3196448.0,3196448.0,0,1,1,0,0
Devin Vassell,23,SAS,2023-10-03,Rookie Scale Extension,Bird Exception,1,5.0,146000000.0,29200000.0,0,1,0,0,0
Cam Payne,29,MIL,2023-10-01,Veteran Contract,Minimum Salary Exception,0,1.0,2891467.0,2891467.0,1,0,0,0,0
Kelly Oubre Jr.,27,PHI,2023-09-26,Veteran Contract,Minimum Salary Exception,0,1.0,2891467.0,2891467.0,0,0,1,0,0
Boban Marjanovic,35,HOU,2023-09-19,Veteran Contract,Minimum Salary Exception,0,1.0,2891467.0,2891467.0,0,0,0,0,1
Jarred Vanderbilt,24,LAL,2023-09-18,Veteran Extension,Bird Exception,1,3.5,48000000.0,12000000.0,0,0,1,1,0
Taj Gibson,38,WAS,2023-09-15,Veteran Contract,Minimum Salary Exception,0,1.0,3196448.0,3196448.0,0,0,0,1,1
Danny Green,36,PHI,2023-09-13,Veteran Contract,Minimum Salary Exception,0,1.0,3196448.0,3196448.0,0,1,0,0,0
Tristan Thompson,32,CLE,2023-09-12,Veteran Contract,Minimum Salary Exception,0,1.0,3196448.0,3196448.0,0,0,0,1,1
Christian Wood,27,LAL,2023-09-06,Veteran Contract,Minimum Salary Exception,0,1.5,5745889.0,2872945.0,0,0,0,1,0
JaVale McGee,35,SAC,2023-09-02,Veteran Contract,Minimum Salary Exception,0,1.0,3196448.0,3196448.0,0,0,0,0,1
Sviatoslav Mykhailiuk,26,BOS,2023-09-01,Veteran Contract,Minimum Salary Exception,0,1.0,2346614.0,2346614.0,0,1,1,0,0
P.J. Washington,25,CHA,2023-08-29,Veteran Contract,Bird Exception,0,3.0,48000000.0,16000000.0,0,0,0,1,0
Moses Brown,23,POR,2023-08-22,Veteran Contract,Minimum Salary Exception,0,1.0,2165000.0,2165000.0,0,0,0,0,1
Derrick Jones Jr.,26,DAL,2023-08-18,Veteran Contract,Minimum Salary Exception,0,1.0,2709849.0,2709849.0,0,0,1,1,0
Terry Taylor,23,CHI,2023-08-14,Veteran Contract,Minimum Salary Exception,0,2.0,4216676.0,2108338.0,0,1,1,0,0
Josh Hart,28,NYK,2023-08-09,Veteran Extension,Bird Exception,1,3.5,80915280.0,20228820.0,0,1,1,0,0
Neemias Queta,24,SAC,2023-08-08,Veteran Contract,Minimum Salary Exception,0,2.0,4216676.0,2108338.0,0,0,0,0,1
Frank Ntilikina,25,CHA,2023-08-05,Veteran Contract,Minimum Salary Exception,0,1.0,2528233.0,2528233.0,1,0,0,0,0
Trendon Watford,22,BKN,2023-08-03,Veteran Contract,Minimum Salary Exception,0,1.0,2019706.0,2019706.0,0,0,1,1,0
Garrett Temple,37,TOR,2023-07-31,Veteran Contract,Minimum Salary Exception,0,1.0,3196448.0,3196448.0,0,1,1,0,0
Thanasis Antetokounmpo,31,MIL,2023-07-27,Veteran Contract,Minimum Salary Exception,0,1.0,2346614.0,2346614.0,0,0,1,0,0
Sandro Mamukelashvili,24,SAS,2023-07-27,Veteran Contract,Minimum Salary Exception,0,1.0,2019706.0,2019706.0,0,0,0,1,1
Jeff Dowtin,26,TOR,2023-07-22,Veteran Contract,Minimum Salary Exception,0,1.0,2019706.0,2019706.0,1,1,0,0,0
Ayo Dosunmu,23,CHI,2023-07-22,Veteran Contract,Early-Bird Exception,0,3.0,21000000.0,7000000.0,1,0,0,0,0
Nerlens Noel,29,SAC,2023-07-21,Veteran Contract,Minimum Salary Exception,0,1.0,3196448.0,3196448.0,0,0,0,1,1
Wesley Matthews,36,ATL,2023-07-21,Veteran Contract,Minimum Salary Exception,0,1.0,3196448.0,3196448.0,0,1,1,0,0
Jack White,25,OKC,2023-07-20,Veteran Contract,Minimum Salary Exception,0,1.5,3922462.0,1961231.0,0,0,1,0,0
DeAndre Jordan,34,DEN,2023-07-20,Veteran Contract,Minimum Salary Exception,0,1.0,3196448.0,3196448.0,0,0,0,0,1
Bol Bol,23,PHX,2023-07-18,Veteran Contract,Minimum Salary Exception,0,1.0,2165000.0,2165000.0,0,0,0,0,1
Tre Jones,23,SAS,2023-07-18,Veteran Contract,Bird Exception,0,2.0,20000000.0,10000000.0,1,0,0,0,0
Ömer Yurtseven,25,UTA,2023-07-17,Veteran Contract,Cap Room,0,2.0,5460000.0,2730000.0,0,0,0,0,1
Montrezl Harrell,29,PHI,2023-07-17,Veteran Contract,Minimum Salary Exception,0,1.0,2891467.0,2891467.0,0,0,0,1,1
Dalano Banton,23,BOS,2023-07-17,Veteran Contract,Minimum Salary Exception,0,1.5,4216676.0,2108338.0,1,0,0,0,0
Darius Bazley,23,BKN,2023-07-16,Veteran Contract,Minimum Salary Exception,0,1.0,2165000.0,2165000.0,0,0,0,1,0
Reggie Jackson,33,DEN,2023-07-16,Veteran Contract,Taxpayer-MLE,0,1.5,10250000.0,5125000.0,1,0,0,0,0
Torrey Craig,32,CHI,2023-07-15,Veteran Contract,Minimum Salary Exception,0,1.5,5373575.0,2686788.0,0,0,1,0,0
Dante Exum,28,DAL,2023-07-14,Veteran Contract,MLE,0,2.0,6150000.0,3075000.0,1,1,0,0,0
Seth Curry,32,DAL,2023-07-14,Veteran Contract,MLE,0,2.0,8000000.0,4000000.0,1,1,0,0,0
Dario Saric,29,GSW,2023-07-12,Veteran Contract,Minimum Salary Exception,0,1.0,2709849.0,2709849.0,0,0,0,1,0
Dennis Schroder,29,TOR,2023-07-12,Veteran Contract,MLE,0,2.0,25430250.0,12715125.0,1,0,0,0,0
Kristaps Porzingis,27,BOS,2023-07-12,Veteran Extension,Bird Exception,1,2.0,60000000.0,30000000.0,0,0,0,1,0
Isaiah Stewart,22,DET,2023-07-11,Rookie Scale Extension,Bird Exception,1,3.5,64000000.0,16000000.0,0,0,0,1,1
Grant Williams,24,BOS,2023-07-11,Veteran Contract,Bird Exception,0,4.0,53341500.0,13335375.0,0,0,0,1,0
Moritz Wagner,26,ORL,2023-07-11,Veteran Contract,Bird Exception,0,1.5,16000000.0,8000000.0,0,0,0,0,1
Josh Okogie,24,PHX,2023-07-11,Veteran Contract,Non-Bird Exception,0,1.5,5772671.0,2886336.0,0,1,0,0,0
Aaron Holiday,26,HOU,2023-07-10,Veteran Contract,Minimum Salary Exception,0,1.0,2346614.0,2346614.0,1,0,0,0,0
Lonnie Walker IV,24,BKN,2023-07-10,Veteran Contract,Minimum Salary Exception,0,1.0,2346614.0,2346614.0,0,1,0,0,0
Jevon Carter,27,CHI,2023-07-10,Veteran Contract,MLE,0,2.5,19500000.0,6500000.0,1,0,0,0,0
Dejounte Murray,26,ATL,2023-07-09,Veteran Extension,Bird Exception,0,3.5,120118201.0,30029550.0,1,1,0,0,0
Mo Bamba,25,PHI,2023-07-09,Veteran Contract,Minimum Salary Exception,0,1.0,2346614.0,2346614.0,0,0,0,0,1
Alex Len,30,SAC,2023-07-09,Veteran Contract,Minimum Salary Exception,0,1.0,3196448.0,3196448.0,0,0,0,0,1
Dwight Powell,31,DAL,2023-07-09,Veteran Contract,Bird Exception,0,2.5,12000000.0,4000000.0,0,0,0,1,1
Patrick Beverley,34,PHI,2023-07-09,Veteran Contract,Minimum Salary Exception,0,1.0,3196448.0,3196448.0,1,1,0,0,0
Nickeil Alexander-Walker,24,MIN,2023-07-09,Veteran Contract,Bird Exception,0,2.0,9000000.0,4500000.0,0,1,0,0,0
Jerami Grant,29,POR,2023-07-09,Veteran Contract,Bird Exception,0,4.5,160000000.0,32000000.0,0,0,1,1,0
Paul Reed,24,PHI,2023-07-08,Veteran Contract,Bird Exception,0,3.0,23555150.0,7851717.0,0,0,0,1,1
Anthony Edwards,21,MIN,2023-07-08,Rookie Scale Extension,Bird Exception,1,5.0,216953495.0,43390699.0,0,1,1,0,0
Donte DiVincenzo,26,NYK,2023-07-08,Veteran Contract,MLE,0,4.0,49870000.0,12467500.0,0,1,0,0,0
Jae Crowder,33,MIL,2023-07-08,Veteran Contract,Minimum Salary Exception,0,1.0,3196448.0,3196448.0,0,0,1,1,0
D'Angelo Russell,27,LAL,2023-07-08,Veteran Contract,Bird Exception,0,1.5,37400000.0,18700000.0,1,0,0,0,0
Dennis Smith Jr.,25,BKN,2023-07-08,Veteran Contract,Minimum Salary Exception,0,1.0,2528233.0,2528233.0,1,0,0,0,0
Desmond Bane,25,MEM,2023-07-08,Rookie Scale Extension,Bird Exception,1,5.0,205900000.0,41180000.0,0,1,1,0,0
Malik Shake Milton,26,MIN,2023-07-08,Veteran Contract,MLE,0,2.0,10000000.0,5000000.0,0,1,0,0,0
Troy Brown Jr.,23,MIN,2023-07-08,Veteran Contract,MLE,0,2.0,8000000.0,4000000.0,0,1,1,0,0
Draymond Green,33,GSW,2023-07-08,Veteran Contract,Bird Exception,0,3.5,100000000.0,25000000.0,0,0,1,1,0
AJ Green,23,MIL,2023-07-07,Veteran Contract,Non-Bird Exception,0,3.0,6324049.0,2108016.0,1,0,0,0,0
Jordan Clarkson,31,UTA,2023-07-07,Veteran Extension,Bird Exception,0,3.0,53000001.0,17666667.0,1,1,0,0,0
Dillon Brooks,27,MEM,2023-07-07,Veteran Contract,Bird Exception,0,4.0,90000001.0,22500000.0,0,1,1,0,0
Fred VanVleet,29,HOU,2023-07-07,Veteran Contract,Cap Room,0,2.5,128539845.0,42846615.0,1,0,0,0,0
Joe Ingles,35,ORL,2023-07-07,Veteran Contract,Cap Room,0,1.5,22000000.0,11000000.0,0,0,1,1,0
Kyrie Irving,31,DAL,2023-07-07,Veteran Contract,Bird Exception,0,2.5,126000000.0,42000000.0,1,1,0,0,0
Damion Lee,30,PHX,2023-07-07,Veteran Contract,Minimum Salary Exception,0,1.5,5373575.0,2686788.0,0,1,0,0,0
Kyle Kuzma,27,WAS,2023-07-07,Veteran Contract,Bird Exception,0,4.0,102200000.0,25550000.0,0,0,0,1,0
Coby White,23,CHI,2023-07-07,Veteran Contract,Bird Exception,0,3.0,39999999.0,13333333.0,1,1,0,0,0
Trey Lyles,27,SAC,2023-07-07,Veteran Contract,Early-Bird Exception,0,2.0,18400000.0,9200000.0,0,0,0,1,0
Tyrese Haliburton,23,IND,2023-07-06,Rookie Scale Extension,Bird Exception,1,5.0,216953495.0,43390699.0,1,0,0,0,0
Matisse Thybulle,26,POR,2023-07-06,Veteran Contract,Bird Exception,0,2.5,33075000.0,11025000.0,0,1,0,0,0
E.J. Liddell,22,NOP,2023-07-06,Veteran Contract,MLE,0,2.5,6224049.0,2074683.0,0,0,0,1,0
Malik Beasley,26,MIL,2023-07-06,Veteran Contract,Minimum Salary Exception,0,1.0,2709849.0,2709849.0,0,1,0,0,0
Robin Lopez,35,MIL,2023-07-06,Veteran Contract,Minimum Salary Exception,0,1.0,3196448.0,3196448.0,0,0,0,0,1
Mason Plumlee,33,LAC,2023-07-06,Veteran Contract,Bird Exception,0,1.0,5000000.0,5000000.0,0,0,0,0,1
Cory Joseph,31,GSW,2023-07-06,Veteran Contract,Minimum Salary Exception,0,1.0,3196448.0,3196448.0,1,1,0,0,0
Justin Holiday,34,DEN,2023-07-06,Veteran Contract,Minimum Salary Exception,0,1.0,3196448.0,3196448.0,0,1,1,0,0
Cody Zeller,30,NOP,2023-07-06,Veteran Contract,Minimum Salary Exception,0,1.0,3196448.0,3196448.0,0,0,0,0,1
Eric Gordon,34,PHX,2023-07-06,Veteran Contract,Minimum Salary Exception,0,1.5,6552719.0,3276360.0,1,1,0,0,0
Domantas Sabonis,27,SAC,2023-07-06,Veteran Extension,Bird Exception,0,5.0,216616000.0,43323200.0,0,0,0,1,1
Jeff Green,36,HOU,2023-07-06,Veteran Contract,Cap Room,0,1.5,19200000.0,9600000.0,0,0,1,1,0
Jalen McDaniels,25,TOR,2023-07-06,Veteran Contract,Biannual Exception,0,2.0,9257800.0,4628900.0,0,0,0,1,0
Russell Westbrook,34,LAC,2023-07-06,Veteran Contract,Non-Bird Exception,0,1.5,7863263.0,3931632.0,1,0,0,0,0
Jock Landale,27,HOU,2023-07-06,Veteran Contract,Cap Room,0,3.5,32000000.0,8000000.0,0,0,0,1,1
Ty Jerome,25,CLE,2023-07-06,Veteran Contract,Biannual Exception,0,2.0,5000000.0,2500000.0,1,1,0,0,0
LaMelo Ball,21,CHA,2023-07-06,Rookie Scale Extension,Bird Exception,1,5.0,216953495.0,43390699.0,1,1,0,0,0
Austin Reaves,25,LAL,2023-07-06,Veteran Contract,Early-Bird Exception,0,3.5,53827872.0,13456968.0,0,1,0,0,0
Brook Lopez,35,MIL,2023-07-06,Veteran Contract,Bird Exception,0,2.0,48000000.0,24000000.0,0,0,0,0,1
Jaxson Hayes,23,LAL,2023-07-06,Veteran Contract,Minimum Salary Exception,0,1.5,4628946.0,2314473.0,0,0,0,1,1
Max Strus,27,MIA,2023-07-06,Veteran Extension,Bird Exception,0,4.0,62297040.0,15574260.0,0,1,1,0,0
Cameron Johnson,27,BKN,2023-07-06,Veteran Contract,Bird Exception,0,4.0,108000000.0,27000000.0,0,0,1,1,0
Cam Reddish,23,LAL,2023-07-06,Veteran Contract,Minimum Salary Exception,0,1.5,4628946.0,2314473.0,0,0,1,0,0
Oshae Brissett,25,BOS,2023-07-06,Veteran Contract,Minimum Salary Exception,0,1.5,4628946.0,2314473.0,0,0,1,1,0
Julian Champagnie,22,SAS,2023-07-06,Veteran Contract,Cap Room,0,3.5,12000000.0,3000000.0,0,1,1,0,0
Rui Hachimura,25,LAL,2023-07-06,Veteran Contract,Bird Exception,0,3.0,51000000.0,17000000.0,0,0,0,1,0
Kevin Love,34,MIA,2023-07-06,Veteran Contract,Non-Bird Exception,0,1.5,7863263.0,3931632.0,0,0,0,1,1
Herbert Jones,24,NOP,2023-07-06,Veteran Contract,Early-Bird Exception,0,4.0,53827872.0,13456968.0,0,1,1,0,0
Gabe Vincent,27,LAL,2023-07-06,Veteran Contract,MLE,0,3.0,33000000.0,11000000.0,1,0,0,0,0
Jakob Poeltl,27,TOR,2023-07-06,Veteran Contract,Bird Exception,0,3.5,80000000.0,20000000.0,0,0,0,0,1
Khris Middleton,31,MIL,2023-07-06,Veteran Contract,Bird Exception,0,2.5,102185185.0,34061728.0,0,1,1,0,0
Georges Niang,30,CLE,2023-07-06,Veteran Contract,MLE,0,3.0,25500000.0,8500000.0,0,0,0,1,0
Bruce Brown Jr.,26,IND,2023-07-06,Veteran Contract,Cap Room,0,1.5,45000000.0,22500000.0,0,1,0,0,0
Taurean Prince,29,LAL,2023-07-06,Veteran Contract,Biannual Exception,0,1.0,4516000.0,4516000.0,0,0,1,0,0
Caris LeVert,28,CLE,2023-07-06,Veteran Contract,Bird Exception,0,2.0,32000000.0,16000000.0,0,1,1,0,0
Derrick Rose,34,MEM,2023-07-03,Veteran Contract,Minimum Salary Exception,0,2.0,6552719.0,3276360.0,1,0,0,0,0
Yuta Watanabe,28,PHX,2023-07-02,Veteran Contract,Minimum Salary Exception,0,1.5,5001258.0,2500629.0,0,0,1,0,0
Chimezie Metu,26,PHX,2023-07-02,Veteran Contract,Minimum Salary Exception,0,1.0,2346614.0,2346614.0,0,0,0,1,0
Keita Bates-Diop,27,PHX,2023-07-02,Veteran Contract,Minimum Salary Exception,0,1.5,5001258.0,2500629.0,0,0,1,0,0
Drew Eubanks,26,PHX,2023-07-02,Veteran Contract,Minimum Salary Exception,0,1.5,5001258.0,2500629.0,0,0,0,1,0
Thomas Bryant,25,MIA,2023-07-01,Veteran Contract,Minimum Salary Exception,0,1.5,5373575.0,2686788.0,0,0,0,0,1
Josh Richardson,29,MIA,2023-07-01,Veteran Contract,Minimum Salary Exception,0,1.5,5942620.0,2971310.0,0,1,1,0,0
Orlando Robinson,22,MIA,2023-07-01,Veteran Contract,Minimum Salary Exception,0,2.0,3922462.0,1961231.0,0,0,0,1,1
Miles Bridges,25,CHA,2023-06-28,Veteran Contract,Bird Exception,0,1.0,7921300.0,7921300.0,0,0,1,1,0
Harrison Barnes,31,SAC,2023-06-28,Veteran Extension,Bird Exception,0,3.0,54000000.0,18000000.0,0,0,1,1,0
Nikola Vucevic,32,CHI,2023-06-28,Veteran Extension,Bird Exception,0,3.0,60000000.0,20000000.0,0,0,0,0,1
Naz Reid,23,MIN,2023-06-27,Veteran Extension,Bird Exception,1,2.5,41959296.0,13986432.0,0,0,0,0,1
Tristan Thompson,32,LAL,2023-04-09,Veteran Contract,Minimum Salary Exception,0,1.0,16700.0,16700.0,0,0,0,1,1
Willie Cauley-Stein,29,HOU,2023-04-09,Veteran Contract,Minimum Salary Exception,0,1.0,14158.0,14158.0,0,0,0,0,1
Isaiah Roby,25,NYK,2023-04-09,Veteran Contract,Room-MLE,0,2.0,2466585.0,1233293.0,0,0,0,1,0
Shaquille Harrison,29,LAL,2023-04-09,Veteran Contract,Minimum Salary Exception,0,2.0,2425564.0,1212782.0,1,1,1,0,0
Vernon Carey Jr.,22,UTA,2023-04-08,Veteran Contract,Minimum Salary Exception,0,2.0,2097238.0,1048619.0,0,0,0,0,1
David Duke Jr.,23,BKN,2023-04-07,Veteran Contract,Minimum Salary Exception,0,1.0,28241.0,28241.0,1,1,0,0,0
Kobi Simmons,25,CHA,2023-04-07,Veteran Contract,Minimum Salary Exception,0,2.0,2099380.0,1049690.0,1,0,0,0,0
Luka Samanic,23,UTA,2023-04-07,Veteran Contract,MLE,0,2.0,2499380.0,1249690.0,0,0,0,1,0
DaQuan Jeffries,25,NYK,2023-03-26,Veteran Contract,Room-MLE,0,2.0,2366585.0,1183293.0,0,1,0,0,0
Eugene Omoruyi,26,DET,2023-03-23,Veteran Contract,MLE,0,1.5,2197341.0,1098671.0,0,0,1,0,0
D.J. Augustin,35,HOU,2023-03-23,Veteran Contract,Minimum Salary Exception,0,1.0,300605.0,300605.0,1,0,0,0,0
Nick Richards,25,CHA,2023-03-22,Veteran Extension,Bird Exception,0,3.0,15000000.0,5000000.0,0,0,0,0,1
Anthony Lamb,25,GSW,2023-03-17,Veteran Contract,Minimum Salary Exception,0,1.0,253254.0,253254.0,0,1,1,0,0
Bogdan Bogdanovic,30,ATL,2023-03-16,Veteran Extension,Bird Exception,1,3.5,68000000.0,17000000.0,0,1,0,0,0
Sam Merrill,26,CLE,2023-03-14,Veteran Contract,MLE,0,3.0,5012231.0,1670744.0,0,1,0,0,0
Meyers Leonard,31,MIL,2023-03-14,Veteran Contract,Minimum Salary Exception,0,1.0,409916.0,409916.0,0,0,0,1,1
Kris Dunn,28,UTA,2023-03-14,Veteran Contract,MLE,0,2.0,3322484.0,1661242.0,1,0,0,0,0
